,Tweet,Created_at,Positive,Negative,Neutral,Currencies,Tweeted_day_Open,Tweeted_day_High,Tweeted_day_Low,Tweeted_day_Close,Tweeted_day_Volume,Prev_30days_Open,Prev_30days_High,Prev_30days_Low,Prev_30days_Close,Prev_30days_Volume,Next_7days_Open,Next_7days_High,Next_7days_Low,Next_7days_Close,Next_7days_Volume,Next_30days_Open,Next_30days_High,Next_30days_Low,Next_30days_Close,Next_30days_Volume
30,$XRP duo for a bounce in the next days i believe https://t.co/zy6xoIyxBy,2023-08-04T09:40:34.000Z,0.0,0.0,1.0,XRP,0.6640880107879639,0.6664419770240784,0.6303039789199829,0.6355389952659607,1342066974,0.4878099858760834,0.49160000681877136,0.47115400433540344,0.4782719910144806,950150566,0.6329910159111023,0.6391479969024658,0.6273329854011536,0.6316750049591064,885715586,0.0,0.0,0.0,0.0,0
31,$ATOR on its way to $1 https://t.co/qWq3pJovzY,2023-08-04T07:21:07.000Z,0.0,0.0,1.0,ATOR,0.5647019743919373,0.6333169937133789,0.543196976184845,0.570779025554657,1180733,0.465489000082016,0.4825649857521057,0.4197160005569458,0.4577679932117462,498813,0.6018319725990295,0.6405540108680725,0.5678640007972717,0.5842880010604858,540532,0.0,0.0,0.0,0.0,0
32,"Drop some nice $inj wizz memes below here.

I need to be ready for $INJ Bull season

Il repost the best one ! 

👇 https://t.co/bHEkUdXQFZ",2023-08-03T17:02:23.000Z,0.328,0.07,0.602,INJ,7.942026138305664,8.20344066619873,7.888604164123535,8.121503829956055,28040753,8.621938705444336,8.880167961120605,8.495078086853027,8.568925857543945,45391516,7.876699924468994,7.877001762390137,7.558835029602051,7.687578201293945,36493793,0.0,0.0,0.0,0.0,0
33,"$ltc halving 

Only thing that was halving was the price.

Thnx for playing 
Top tier ponzi coin. I would never hodl such coins for the long run.",2023-08-02T16:28:03.000Z,0.13,0.0,0.87,LTC,93.8185043334961,94.31300354003906,86.91828155517578,87.48905944824219,899573748,113.23170471191406,114.49706268310547,105.97306823730469,106.94577026367188,1154666410,83.95451354980469,84.42743682861328,83.29949951171875,84.0372085571289,1086009763,0.0,0.0,0.0,0.0,0
34,"The $PLANET ecosystem. Real usecase and utility.
🤝📈 https://t.co/hz9IpCq23i",2023-08-02T16:08:23.000Z,0.0,0.0,1.0,PLANET,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
35,"$INJ Will have its own bullmarket

Build dif. https://t.co/rM9umGhBJN",2023-08-02T12:07:09.000Z,0.0,0.0,1.0,INJ,8.020418167114258,8.17327880859375,7.941964149475098,7.9420671463012695,45515843,8.729140281677246,8.970488548278809,8.61378288269043,8.624813079833984,53090191,8.113545417785645,8.143697738647461,7.819203853607178,7.876185894012451,26721551,0.0,0.0,0.0,0.0,0
36,"Didnt tweet 2 day about inj

WIZZ WTF U STOPPED TALKING ABOUT $inj

Ct is really fcked.",2023-08-02T10:49:53.000Z,0.0,0.355,0.645,INJ,8.020418167114258,8.17327880859375,7.941964149475098,7.9420671463012695,45515843,8.729140281677246,8.970488548278809,8.61378288269043,8.624813079833984,53090191,8.113545417785645,8.143697738647461,7.819203853607178,7.876185894012451,26721551,0.0,0.0,0.0,0.0,0
37,"$RVF is moving quikly.

One of the smaller projects that has huge potential.
🤝 https://t.co/mVzwVOhBjb",2023-08-02T10:05:58.000Z,0.15,0.0,0.85,RVF,0.28797900676727295,0.3059679865837097,0.2774899899959564,0.29128700494766235,449338,0.09788499772548676,0.10868799686431885,0.09335800260305405,0.09617400169372559,391415,0.3145439922809601,0.37147200107574463,0.3145439922809601,0.3566809892654419,646804,0.0,0.0,0.0,0.0,0
38,"$dione 🤝📈 

Easy longterm hodl https://t.co/li170V94Ea",2023-08-01T17:57:56.000Z,0.367,0.0,0.633,DIONE,0.002500999951735139,0.0027030000928789377,0.0024500000290572643,0.0026499999221414328,1768315,0.0038560000248253345,0.0038640000857412815,0.0032999999821186066,0.0035520000383257866,1408375,0.002566999988630414,0.0027360001113265753,0.0025259999092668295,0.002650999929755926,1653665,0.0,0.0,0.0,0.0,0
39,"Use those dips to stack as much $INJ $WOO $FET 

peak Bull we Will laugh.",2023-08-01T14:51:37.000Z,0.205,0.0,0.795,INJ,7.863912105560303,8.025883674621582,7.574359893798828,8.025883674621582,37180559,8.84479808807373,8.865928649902344,8.309310913085938,8.730451583862305,57812222,7.923491954803467,8.21909236907959,7.893619060516357,8.11281681060791,31871262,0.0,0.0,0.0,0.0,0
